mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,167172104,38.7590901,-77.5256537,-98,1763347785665,9.7,1.3760381,239.53383,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590944,-77.5256695,-98,1763347790688,10.6,0.17330489,307.57724,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590944,-77.5256695,-98,1763347790688,10.6,0.17330489,307.57724,LTE,20,,5124,330,,,
310,410,5124,167172104,38.759102,-77.5256684,-97,1763347795695,8.0,0.14052002,53.0904,LTE,20,,5124,330,,,
310,410,5124,167172104,38.759102,-77.5256684,-97,1763347795695,8.0,0.14052002,53.0904,LTE,20,,5124,330,,,
310,410,5124,167172104,38.759091,-77.5256727,-97,1763347800691,9.6,0.34499446,183.07104,LTE,20,,5124,330,,,
310,410,5124,167172104,38.759091,-77.5256727,-97,1763347800691,9.6,0.34499446,183.07104,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590863,-77.5256719,-98,1763347805693,8.9,0.27312022,174.71881,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590863,-77.5256719,-98,1763347805693,8.9,0.27312022,174.71881,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347810692,8.0,0.0012416085,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590857,-77.5256718,-100,1763347810692,8.0,0.0012416085,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590783,-77.5256746,-101,1763347815697,11.2,0.07730116,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590783,-77.5256746,-101,1763347815697,11.2,0.07730116,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590785,-77.5256729,-104,1763347820694,6.9,0.060004987,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590785,-77.5256729,-104,1763347820694,6.9,0.060004987,-2000.0,LTE,20,,5124,330,,,
310,410,5124,167172104,38.7590783,-77.5256709,-104,1763347825694,5.5,0.05891059,-2000.0,LTE,20,,5124,330,,,
