mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
310,410,5124,166566629,38.7662498,-77.4831175,-93,1763409164735,3.0,11.259907,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7662498,-77.4831175,-93,1763409164735,3.0,11.259907,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7662498,-77.4831175,-93,1763409164735,3.0,11.259907,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7659052,-77.4826173,-86,1763409169742,3.0,11.982818,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7659052,-77.4826173,-86,1763409169742,3.0,11.982818,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7659052,-77.4826173,-86,1763409169742,3.0,11.982818,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7659052,-77.4826173,-86,1763409169742,3.0,11.982818,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7656001,-77.4821802,-80,1763409174735,3.0,8.0251,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7656001,-77.4821802,-80,1763409174735,3.0,8.0251,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7656001,-77.4821802,-80,1763409174735,3.0,8.0251,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7656001,-77.4821802,-80,1763409174735,3.0,8.0251,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655074,-77.4820498,-78,1763409179748,4.2,0.9709025,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655074,-77.4820498,-78,1763409179748,4.2,0.9709025,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655074,-77.4820498,-78,1763409179748,4.2,0.9709025,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655074,-77.4820498,-78,1763409179748,4.2,0.9709025,130.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409184727,3.0,0.0075248545,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409184727,3.0,0.0075248545,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409184727,3.0,0.0075248545,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409184727,3.0,0.0075248545,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409189735,3.0,0.0071024075,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409189735,3.0,0.0071024075,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409189735,3.0,0.0071024075,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409189735,3.0,0.0071024075,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409194733,3.0,0.006560628,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409194733,3.0,0.006560628,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409194733,3.0,0.006560628,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409194733,3.0,0.006560628,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409199442,7.7,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409199442,7.7,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409199442,7.7,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409199442,7.7,-2000.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-83,1763409204734,3.0,0.010126996,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-83,1763409204734,3.0,0.010126996,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-83,1763409204734,3.0,0.010126996,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-83,1763409204734,3.0,0.010126996,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409209742,6.3,0.007586986,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409209742,6.3,0.007586986,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409209742,6.3,0.007586986,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409209742,6.3,0.007586986,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409214735,3.0,0.006096859,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409214735,3.0,0.006096859,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409214735,3.0,0.006096859,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409214735,3.0,0.006096859,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409219723,4.5,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409219723,4.5,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409219723,4.5,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409219723,4.5,0.0,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409224733,3.3,0.0098314695,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409224733,3.3,0.0098314695,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409224733,3.3,0.0098314695,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-80,1763409224733,3.3,0.0098314695,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409229736,3.0,0.008145045,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409229736,3.0,0.008145045,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409229736,3.0,0.008145045,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409229736,3.0,0.008145045,-2000.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409234736,7.6,0.13260074,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409234736,7.6,0.13260074,131.0,LTE,21,,5124,170,,,
310,410,5124,166566629,38.7655047,-77.4820479,-81,1763409234736,7.6,0.13260074,131.0,LTE,21,,5124,170,,,
